seller_id,orders_count,items_sold,gross_revenue,delivered_orders,on_time_deliveries,seller_id,avg_review_score
54a1852d1b8f10312c55e906355666ee,200,204,17226.44,202,182,54a1852d1b8f10312c55e906355666ee,4.34
f457c46070d02cadd8a68551231220dd,199,234,19093.00,230,215,f457c46070d02cadd8a68551231220dd,3.79
c003204e1ab016dfa150abc119207b24,197,202,25108.09,200,187,c003204e1ab016dfa150abc119207b24,4.42
41b39e28db005d9731d9d485a83b4c38,195,231,17112.55,223,210,41b39e28db005d9731d9d485a83b4c38,4.13
f262cbc1c910c83959f849465454ddd3,192,207,10482.83,204,185,f262cbc1c910c83959f849465454ddd3,4.09
ccc4bbb5f32a6ab2b7066a4130f114e3,187,192,74004.62,189,175,ccc4bbb5f32a6ab2b7066a4130f114e3,4.28
f45122a9ab94eb4f3f8953578bc0c560,187,200,22078.29,197,183,f45122a9ab94eb4f3f8953578bc0c560,3.91
850f4f8af5ea87287ac68de36e29107f,187,192,45355.36,191,179,850f4f8af5ea87287ac68de36e29107f,4.29
0c8380b62e38e8a1e6adbeba7eb9688c,182,220,17348.79,218,207,0c8380b62e38e8a1e6adbeba7eb9688c,4.04
86ccac0b835037332a596a33b6949ee1,180,210,16619.93,208,202,86ccac0b835037332a596a33b6949ee1,4.00
813348c996469b40f2e028d5429d3495,179,202,11205.83,195,186,813348c996469b40f2e028d5429d3495,4.00
7d76b645482be4a332374e8223836592,176,187,3843.93,183,163,7d76b645482be4a332374e8223836592,3.93
95e03ca3d4146e4011985981aeb959b9,175,193,11009.96,190,184,95e03ca3d4146e4011985981aeb959b9,3.99
522620dcb18a6b31cd7bdf73665113a9,174,180,57168.49,178,160,522620dcb18a6b31cd7bdf73665113a9,3.90
5656537e588803a555b8eb41f07a944b,174,188,8065.93,185,171,5656537e588803a555b8eb41f07a944b,3.80
9b013e03b2ab786505a1d3b5c0756754,174,225,9027.40,220,208,9b013e03b2ab786505a1d3b5c0756754,4.00
d98eec89afa3380e14463da2aabaea72,168,183,6968.53,183,179,d98eec89afa3380e14463da2aabaea72,4.29
1a3df491d1c4f1589fc2b934ada68bf2,167,178,23302.70,171,162,1a3df491d1c4f1589fc2b934ada68bf2,4.16
2e1c9f22be269ef4643f826c9e650a52,167,173,12687.68,167,156,2e1c9f22be269ef4643f826c9e650a52,4.16
6d66611d7c44cc30ce351abc49a68421,166,176,13593.40,174,162,6d66611d7c44cc30ce351abc49a68421,3.91
edb1ef5e36e0c8cd84eb3c9b003e486d,166,175,79284.55,174,161,edb1ef5e36e0c8cd84eb3c9b003e486d,4.43
cbd996ad3c1b7dc71fd0e5f5df9087e2,165,196,8411.04,189,173,cbd996ad3c1b7dc71fd0e5f5df9087e2,4.08
0b90b6df587eb83608a64ea8b390cf07,164,210,28592.32,209,202,0b90b6df587eb83608a64ea8b390cf07,4.00
2a84855fd20af891be03bc5924d2b453,164,168,15819.10,159,154,2a84855fd20af891be03bc5924d2b453,4.23
de23c3b98a88888289c6f5cc1209054a,164,181,26399.67,178,162,de23c3b98a88888289c6f5cc1209054a,4.28
669ae81880e08f269a64487cfb287169,162,186,13248.87,185,178,669ae81880e08f269a64487cfb287169,4.10
a416b6a846a11724393025641d4edd5e,162,181,25670.72,176,154,a416b6a846a11724393025641d4edd5e,4.16
0be8ff43f22e456b4e0371b2245e4d01,161,180,11805.50,175,164,0be8ff43f22e456b4e0371b2245e4d01,3.89
0dd184061fb0eaa7ca37932c68ab91c5,161,193,18446.92,193,174,0dd184061fb0eaa7ca37932c68ab91c5,3.95
2528513dd95219a6013d4d05176e391a,161,167,32689.10,166,157,2528513dd95219a6013d4d05176e391a,3.95
537eb890efff034a88679788b647c564,160,173,4679.70,171,161,537eb890efff034a88679788b647c564,4.17
7e1fb0a3ebfb01ffb3a7dae98bf3238d,159,174,27349.53,169,146,7e1fb0a3ebfb01ffb3a7dae98bf3238d,4.13
b76dba6c951ab00dc4edf0a1aa88037e,159,169,2574.78,167,162,b76dba6c951ab00dc4edf0a1aa88037e,4.15
004c9cd9d87a3c30c522c48c4fc07416,158,170,19712.71,168,155,004c9cd9d87a3c30c522c48c4fc07416,4.13
25c5c91f63607446a97b143d2d535d31,158,269,54679.22,266,250,25c5c91f63607446a97b143d2d535d31,3.70
9c0e69c7bf2619675bbadf47b43f655a,157,206,33702.78,200,181,9c0e69c7bf2619675bbadf47b43f655a,4.00
213b25e6f54661939f11710a6fddb871,155,194,15379.50,190,169,213b25e6f54661939f11710a6fddb871,3.79
36a968b544695394e4e9d7572688598f,154,162,9482.87,156,149,36a968b544695394e4e9d7572688598f,3.64
8f2ce03f928b567e3d56181ae20ae952,153,175,21712.90,172,147,8f2ce03f928b567e3d56181ae20ae952,4.06
b33e7c55446eabf8fe1a42d037ac7d6d,152,155,44985.17,152,132,b33e7c55446eabf8fe1a42d037ac7d6d,4.15
b499c00f28f4b7069ff6550af8c1348a,152,187,10327.13,182,162,b499c00f28f4b7069ff6550af8c1348a,4.14
66922902710d126a0e7d26b0e3805106,151,156,14362.30,155,144,66922902710d126a0e7d26b0e3805106,4.45
7ad32824caee82087b3e2e5f33b1bf32,151,184,22505.10,180,157,7ad32824caee82087b3e2e5f33b1bf32,3.77
5cf13accae3222c70a9cac40818ae839,149,156,14383.20,155,150,5cf13accae3222c70a9cac40818ae839,4.44
6cd68b3ed6d59aaa9fece558ad360c0a,149,157,11188.57,157,154,6cd68b3ed6d59aaa9fece558ad360c0a,4.45
cfb1a033743668a192316f3c6d1d2671,147,184,12803.64,179,160,cfb1a033743668a192316f3c6d1d2671,3.93
44073f8b7e41514de3b7815dd0237f4f,144,153,18729.64,151,144,44073f8b7e41514de3b7815dd0237f4f,3.76
b4ffb71f0cb1b1c3d63fad021ecf93e1,144,165,6656.09,164,160,b4ffb71f0cb1b1c3d63fad021ecf93e1,4.02
8b28d096634035667e8263d57ba3368c,143,155,9375.70,151,131,8b28d096634035667e8263d57ba3368c,3.86
1c68394e931a64f90ea236c5ea590300,142,171,24832.75,171,165,1c68394e931a64f90ea236c5ea590300,3.94
3c7c4a49ec3c6550809089c6a2ca9370,141,160,4033.64,158,145,3c7c4a49ec3c6550809089c6a2ca9370,3.69
5a8e7d5003a1f221f9e1d6e411de7c23,139,181,11171.90,179,168,5a8e7d5003a1f221f9e1d6e411de7c23,4.17
259f7b5e6e482c230e5bfaa670b6bb8f,138,165,8526.04,162,159,259f7b5e6e482c230e5bfaa670b6bb8f,4.21
48436dade18ac8b2bce089ec2a041202,138,151,12271.71,147,137,48436dade18ac8b2bce089ec2a041202,4.05
0bae85eb84b9fb3bd773911e89288d54,137,146,7482.21,145,144,0bae85eb84b9fb3bd773911e89288d54,4.21
db4350fd57ae30082dec7acbaacc17f9,137,146,3331.31,145,139,db4350fd57ae30082dec7acbaacc17f9,4.12
